[Subject]	
[Date]	05/30/2016
[Time]	17:35:24
[Channels]	27
[Rate]	1000.000000
[Type]	Average
[Points]	1351
[Xmin]	-100.00000
[Sweeps]	5047
[Accepted]	114
[Rejected]	4933
[Domain]	Time
[Rows]	Points																									
[Electrode Labels]																											
[FP2]	        [AF4]	        [F2]	        [F4]	        [F6]	        [F8]	        [FC2]	        [FC4]	        [FC6]	        [FT8]	        [C2]	        [C4]	        [C6]	        [T8]	        [CP2]	        [CP4]	        [CP6]	        [TP8]	        [P2]	        [P4]	        [P6]	        [P8]	        [PO4]	        [PO6]	        [PO8]	        [O2]	        [CB2]	
[Electrode XUnits]																											
[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	
[Electrode YUnits]																											
[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	
[Average Data]
0.31600 	0.64690 	0.83160 	0.95100 	0.77740 	0.54885 	0.94535 	0.90430 	0.65805 	0.55310 	0.93395 	0.80600 	0.70435 	0.78535 	1.14670 	1.08925 	1.11740 	0.82870 	1.19920 	1.23100 	1.17880 	1.02910 	1.14820 	1.03015 	1.01535 	0.74075 	0.40450 
0.33170 	0.68940 	0.85035 	0.94870 	0.76450 	0.50405 	0.95155 	0.88125 	0.64235 	0.51215 	0.91795 	0.76435 	0.67670 	0.77335 	1.13715 	1.05875 	1.08450 	0.82025 	1.18475 	1.21560 	1.17155 	1.00445 	1.15640 	1.03440 	1.01110 	0.75945 	0.43255 
0.34065 	0.71550 	0.85890 	0.93665 	0.74505 	0.45390 	0.94755 	0.84870 	0.62050 	0.47045 	0.89255 	0.71690 	0.64185 	0.74775 	1.11700 	1.01975 	1.04230 	0.79355 	1.15965 	1.18860 	1.15380 	0.97155 	1.15410 	1.03135 	0.99965 	0.77210 	0.45530 
0.34150 	0.72220 	0.85580 	0.91370 	0.71750 	0.39870 	0.93235 	0.80585 	0.59015 	0.42760 	0.85715 	0.66345 	0.59950 	0.70785 	1.08540 	0.97190 	0.99070 	0.74850 	1.12340 	1.14940 	1.12480 	0.93035 	1.14065 	1.02070 	0.98085 	0.77850 	0.47285 
0.33370 	0.70790 	0.84030 	0.87880 	0.68075 	0.33870 	0.90540 	0.75255 	0.54985 	0.38300 	0.81150 	0.60425 	0.54980 	0.65370 	1.04190 	0.91530 	0.92965 	0.68620 	1.07570 	1.09780 	1.08430 	0.88120 	1.11560 	1.00215 	0.95465 	0.77860 	0.48530 
0.31725 	0.67275 	0.81220 	0.83180 	0.63435 	0.27470 	0.86680 	0.68900 	0.49890 	0.33630 	0.75580 	0.53970 	0.49295 	0.58620 	0.98630 	0.85005 	0.85965 	0.60870 	1.01655 	1.03405 	1.03220 	0.82490 	1.07895 	0.97565 	0.92155 	0.77230 	0.49285 
0.29295 	0.61860 	0.77240 	0.77325 	0.57830 	0.20770 	0.81720 	0.61625 	0.43760 	0.28755 	0.69065 	0.47060 	0.43010 	0.50685 	0.91905 	0.77665 	0.78135 	0.51895 	0.94650 	0.95875 	0.96910 	0.76265 	1.03115 	0.94135 	0.88205 	0.75930 	0.49560 
0.26230 	0.54885 	0.72245 	0.70450 	0.51345 	0.13910 	0.75795 	0.53590 	0.36720 	0.23715 	0.61725 	0.39795 	0.36280 	0.41740 	0.84090 	0.69605 	0.69600 	0.42075 	0.86620 	0.87305 	0.89620 	0.69615 	0.97310 	0.89965 	0.83690 	0.73970 	0.49355 
0.22700 	0.46780 	0.66415 	0.62715 	0.44105 	0.07035 	0.69055 	0.44975 	0.28960 	0.18600 	0.53710 	0.32290 	0.29315 	0.31980 	0.75310 	0.60920 	0.60490 	0.31780 	0.77690 	0.77825 	0.81500 	0.62705 	0.90590 	0.85095 	0.78695 	0.71335 	0.48665 
0.18915 	0.38055 	0.59970 	0.54315 	0.36295 	0.00295 	0.61680 	0.35990 	0.20700 	0.13495 	0.45170 	0.24655 	0.22320 	0.21585 	0.65680 	0.51715 	0.50910 	0.21360 	0.67960 	0.67570 	0.72720 	0.55685 	0.83080 	0.79600 	0.73295 	0.68020 	0.47470 
0.15055 	0.29215 	0.53105 	0.45450 	0.28085 	-0.06175 	0.53825 	0.26815 	0.12215 	0.08530 	0.36235 	0.16980 	0.15510 	0.10715 	0.55345 	0.42100 	0.40975 	0.11115 	0.57555 	0.56695 	0.63425 	0.48655 	0.74925 	0.73505 	0.67525 	0.64030 	0.45750 
0.11265 	0.20700 	0.45990 	0.36285 	0.19660 	-0.12265 	0.45630 	0.17620 	0.03755 	0.03815 	0.27030 	0.09310 	0.09045 	-0.00480 	0.44405 	0.32115 	0.30740 	0.01235 	0.46575 	0.45315 	0.53755 	0.41685 	0.66220 	0.66850 	0.61430 	0.59365 	0.43470 
0.07640 	0.12875 	0.38760 	0.26975 	0.11180 	-0.17905 	0.37190 	0.08535 	-0.04440 	-0.00595 	0.17630 	0.01685 	0.03070 	-0.11850 	0.32965 	0.21830 	0.20280 	-0.08170 	0.35120 	0.33545 	0.43785 	0.34790 	0.57075 	0.59650 	0.55010 	0.54025 	0.40605 
0.04230 	0.05995 	0.31495 	0.17640 	0.02745 	-0.23060 	0.28585 	-0.00315 	-0.12205 	-0.04685 	0.08095 	-0.05870 	-0.02370 	-0.23295 	0.21120 	0.11290 	0.09660 	-0.17090 	0.23275 	0.21495 	0.33590 	0.27970 	0.47575 	0.51920 	0.48270 	0.48030 	0.37135 
0.01045 	0.00205 	0.24265 	0.08385 	-0.05535 	-0.27715 	0.19895 	-0.08830 	-0.19410 	-0.08540 	-0.01500 	-0.13330 	-0.07250 	-0.34720 	0.08975 	0.00560 	-0.01030 	-0.25530 	0.11160 	0.09280 	0.23225 	0.21210 	0.37815 	0.43690 	0.41215 	0.41445 	0.33065 
-0.01920 	-0.04475 	0.17125 	-0.00670 	-0.13585 	-0.31855 	0.11195 	-0.16905 	-0.25975 	-0.12275 	-0.11105 	-0.20615 	-0.11590 	-0.46035 	-0.03330 	-0.10270 	-0.11655 	-0.33560 	-0.01085 	-0.02960 	0.12780 	0.14525 	0.27895 	0.35040 	0.33900 	0.34355 	0.28450 
