VISCPT......= Version 3.00				
id..........= -----				
operator....= -----				
doctor......= -----				
referral....= -----				
institution.= -----				
subject.....= -----				
name........= OutMan				
age.........= 0				
sex.........= 0				
hand........= 0				
medications.= -----				
class.......= -----				
state.......= -----				
label.......= -----				
date........= 05/12/17				
time........= 20:27:34				
eduction....= -----				
occupation..= -----				
programmer..= ChunHui_Sun				
Trial   Resp    Type    Correct     Latency				
-----   ----    ----    -------   -----------				
1004	1	3	0	800
1005	1	202	-1	800
1006	1	203	-1	800
1007	1	7	0	800
1008	1	202	-1	800
1009	1	3	0	800
1010	1	202	-1	800
1011	1	3	0	800
1012	1	202	-1	800
1013	1	3	0	800
1014	1	202	-1	800
1015	1	5	0	800
1016	1	202	-1	800
1017	1	5	0	800
1018	1	202	-1	800
1019	1	7	1	800
1020	1	201	-1	800
1021	1	5	0	800
1022	1	202	-1	800
1023	1	7	1	800
1024	1	201	-1	800
1025	1	5	0	800
1026	1	202	-1	800
1027	1	7	1	800
1028	1	201	-1	800
1029	1	3	0	800
1030	1	202	-1	800
1031	1	3	0	800
1032	1	202	-1	800
1033	1	7	1	800
1034	1	201	-1	800
1035	1	5	0	800
1036	1	202	-1	800
1037	1	7	1	800
1038	1	201	-1	800
1039	1	7	1	800
1040	1	201	-1	800
1041	1	7	1	800
1042	1	201	-1	800
1043	1	5	0	800
1044	1	202	-1	800
1045	1	3	0	800
1046	1	202	-1	800
1047	1	3	0	800
1048	1	202	-1	800
1049	1	5	0	800
1050	1	202	-1	800
1051	1	5	0	800
1052	1	202	-1	800
1053	1	3	0	800
1054	1	202	-1	800
1055	1	3	0	800
1056	1	202	-1	800
1057	1	5	1	800
1058	1	201	-1	800
1059	1	3	0	800
1060	1	202	-1	800
1061	1	3	0	800
1062	1	202	-1	800
1063	1	5	0	800
1064	1	202	-1	800
1065	1	7	1	800
1066	1	201	-1	800
1067	1	5	0	800
1068	1	202	-1	800
1069	1	3	0	800
1070	1	202	-1	800
1071	1	7	1	800
1072	1	201	-1	800
1073	1	7	1	800
1074	1	201	-1	800
1075	1	3	0	800
1076	1	202	-1	800
1077	1	7	1	800
1078	1	201	-1	800
1079	1	7	0	800
1080	1	202	-1	800
1081	1	3	0	800
1082	1	202	-1	800
1083	1	5	0	800
1084	1	202	-1	800
1085	1	5	0	800
1086	1	202	-1	800
1087	1	7	1	800
1088	1	201	-1	800
1089	1	7	1	800
1090	1	201	-1	800
1091	1	5	0	800
1092	1	202	-1	800
1093	1	3	0	800
1094	1	202	-1	800
1095	1	5	0	800
1096	1	202	-1	800
