id,eventcode,col3,col4,col5,time
613,201,0,0,0.0000,2285560
614,3,0,0,0.0000,2287492
615,202,0,0,0.0000,2288088
616,5,0,0,0.0000,2289759
617,201,0,0,0.0000,2290313
618,3,0,0,0.0000,2292092
619,201,0,0,0.0000,2292873
620,7,0,0,0.0000,2294392
621,201,0,0,0.0000,2295033
622,7,0,0,0.0000,2296709
623,202,0,0,0.0000,2297434
624,5,0,0,0.0000,2298951
625,201,0,0,0.0000,2299562
626,7,0,0,0.0000,2301476
627,201,0,0,0.0000,2302106
628,7,0,0,0.0000,2303709
629,201,0,0,0.0000,2304363
630,5,0,0,0.0000,2305934
631,202,0,0,0.0000,2306491
632,3,0,0,0.0000,2308209
633,201,0,0,0.0000,2308907
634,7,0,0,0.0000,2310476
635,202,0,0,0.0000,2311340
636,3,0,0,0.0000,2313026
637,202,0,0,0.0000,2313612
638,5,0,0,0.0000,2315626
639,201,0,0,0.0000,2316237
640,7,0,0,0.0000,2318151
641,202,0,0,0.0000,2318845
642,203,0,0,0.0000,2362723
643,3,0,0,0.0000,2367661
644,202,0,0,0.0000,2368452
645,3,0,0,0.0000,2369961
646,201,0,0,0.0000,2370533
647,3,0,0,0.0000,2372553
648,201,0,0,0.0000,2373317
649,5,0,0,0.0000,2375061
650,201,0,0,0.0000,2375765
651,7,0,0,0.0000,2377453
652,202,0,0,0.0000,2378054
653,3,0,0,0.0000,2379678
654,201,0,0,0.0000,2380454
655,7,0,0,0.0000,2381911
656,201,0,0,0.0000,2382550
657,7,0,0,0.0000,2384403
658,202,0,0,0.0000,2385191
659,7,0,0,0.0000,2386811
660,201,0,0,0.0000,2387463
661,3,0,0,0.0000,2389153
662,202,0,0,0.0000,2389879
663,201,0,0,0.0000,2389911
664,5,0,0,0.0000,2398887
665,201,0,0,0.0000,2399641
666,3,0,0,0.0000,2401437
667,202,0,0,0.0000,2402169
668,7,0,0,0.0000,2403954
669,201,0,0,0.0000,2404570
670,5,0,0,0.0000,2406370
671,201,0,0,0.0000,2406954
672,7,0,0,0.0000,2408945
673,201,0,0,0.0000,2409626
674,5,0,0,0.0000,2411454
675,201,0,0,0.0000,2412011
676,5,0,0,0.0000,2413821
677,202,0,0,0.0000,2414411
678,3,0,0,0.0000,2416254
