trial,respond,type,correct,latancy
806,1,201,-1,800
807,1,7,0,800
808,1,202,-1,800
809,1,7,1,800
810,1,201,-1,800
811,1,3,0,800
812,1,202,-1,800
813,1,5,1,800
814,1,201,-1,800
815,1,3,0,800
816,1,202,-1,800
817,1,7,1,800
818,1,201,-1,800
819,1,203,-1,800
820,1,5,1,800
821,1,203,-1,800
822,1,201,-1,800
823,1,7,1,800
824,1,201,-1,800
825,1,3,1,800
826,1,201,-1,800
827,1,7,1,800
828,1,201,-1,800
829,1,3,0,800
830,1,202,-1,800
831,1,7,1,800
832,1,201,-1,800
833,1,3,1,800
834,1,201,-1,800
835,1,7,1,800
836,1,201,-1,800
837,1,7,0,800
838,1,202,-1,800
839,1,5,1,800
840,1,201,-1,800
841,1,3,0,800
842,1,202,-1,800
843,1,7,1,800
844,1,201,-1,800
845,1,7,1,800
846,1,201,-1,800
847,1,3,0,800
848,1,202,-1,800
849,1,3,0,800
850,1,202,-1,800
851,1,5,0,800
852,1,202,-1,800
853,1,7,1,800
854,1,201,-1,800
855,1,3,1,800
856,1,201,-1,800
857,1,3,0,800
858,1,202,-1,800
859,1,5,1,800
860,1,201,-1,800
861,1,5,0,800
862,1,202,-1,800
863,1,5,0,800
864,1,202,-1,800
865,1,3,0,800
866,1,202,-1,800
867,1,7,0,800
868,1,202,-1,800
869,1,5,1,800
870,1,201,-1,800
871,1,3,1,800
872,1,201,-1,800
873,1,5,1,800
874,1,201,-1,800
875,1,7,0,800
876,1,202,-1,800
877,1,7,1,800
878,1,201,-1,800
879,1,5,0,800
880,1,202,-1,800
881,1,5,1,800
882,1,201,-1,800
883,1,3,1,800
884,1,201,-1,800
885,1,5,1,800
886,1,201,-1,800
887,1,7,1,800
888,1,201,-1,800
889,1,7,1,800
890,1,201,-1,800
891,1,5,1,800
892,1,201,-1,800
893,1,7,1,800
894,1,201,-1,800
895,1,3,0,800
896,1,202,-1,800
897,1,5,0,800
898,1,202,-1,800
899,1,3,0,800
900,1,202,-1,800
901,1,3,0,800
902,1,202,-1,800
903,1,3,0,800
904,1,202,-1,800
905,1,203,-1,800
906,1,7,1,800
907,1,201,-1,800
908,1,3,0,800
909,1,202,-1,800
910,1,3,0,800
911,1,202,-1,800
912,1,5,1,800
913,1,201,-1,800
914,1,5,1,800
915,1,201,-1,800
916,1,7,1,800
917,1,201,-1,800
918,1,7,1,800
919,1,201,-1,800
920,1,5,0,800
921,1,202,-1,800
922,1,3,0,800
923,1,202,-1,800
924,1,5,1,800
925,1,201,-1,800
926,1,3,0,800
927,1,202,-1,800
928,1,5,0,800
929,1,202,-1,800
930,1,7,1,800
931,1,201,-1,800
932,1,3,1,800
933,1,201,-1,800
934,1,5,1,800
935,1,201,-1,800
936,1,7,1,800
937,1,201,-1,800
938,1,7,1,800
939,1,201,-1,800
940,1,7,0,800
941,1,202,-1,800
942,1,5,0,800
943,1,202,-1,800
944,1,3,0,800
945,1,202,-1,800
946,1,5,1,800
947,1,201,-1,800
948,1,7,1,800
949,1,201,-1,800
950,1,5,1,800
951,1,201,-1,800
952,1,3,0,800
953,1,202,-1,800
954,1,3,0,800
955,1,202,-1,800
956,1,5,1,800
957,1,201,-1,800
958,1,7,1,800
959,1,201,-1,800
960,1,3,0,800
961,1,202,-1,800
962,1,7,1,800
963,1,201,-1,800
964,1,5,1,800
965,1,201,-1,800
966,1,3,0,800
967,1,202,-1,800
968,1,7,1,800
969,1,201,-1,800
970,1,5,1,800
971,1,201,-1,800
972,1,5,0,800
973,1,202,-1,800
974,1,7,1,800
975,1,201,-1,800
976,1,7,1,800
977,1,201,-1,800
978,1,3,1,800
979,1,201,-1,800
980,1,3,0,800
981,1,202,-1,800
982,1,3,1,800
983,1,201,-1,800
984,1,7,1,800
985,1,201,-1,800
986,1,5,1,800
987,1,201,-1,800
988,1,3,0,800
989,1,202,-1,800
990,1,5,1,800
991,1,201,-1,800
992,1,7,1,800
993,1,201,-1,800
994,1,3,0,800
995,1,202,-1,800
