groupid,stimu,stimu_time,resp,resp_time,rt
519,3,2248175,201,2248704,529
520,3,2250567,202,2250960,393
521,3,2253008,202,2253505,497
522,5,2255434,202,2255777,343
523,5,2257992,201,2258417,425
524,5,2260267,202,2260594,327
525,5,2262792,201,2263154,362
526,3,2265384,201,2265762,378
527,5,2267942,201,2268323,381
528,5,2270309,201,2270643,334
529,7,2272551,201,2272931,380
530,7,2274876,201,2275204,328
531,7,2277459,201,2277780,321
532,3,2279984,201,2280389,405
533,3,2282359,201,2282709,350
534,7,2284643,202,2285029,386
535,7,2286876,201,2287398,522
536,7,2289393,201,2289862,469
537,3,2291835,201,2292278,443
538,3,2294318,201,2294983,665
539,5,2296843,202,2297319,476
540,7,2299093,202,2299527,434
